"CONCEPT_CD","CNT"
"CPT4:99213",2715873
"CPT4:99214",2064542
"CPT4:84132",1948571
"CPT4:82947",1826001
"CPT4:84295",1707012
"CPT4:82435",1663647
"CPT4:82565",1321386
"CPT4:84520",1317923
"CPT4:82374",1258280
"CPT4:83735",1041427
"CPT4:82310",1018000
"CPT4:84100",1016584
"CPT4:82803",961984
"CPT4:36415",930310
"CPT4:85025",884030
"CPT4:99283",841993
"CPT4:99203",812108
"CPT4:86003",714200
"CPT4:99215",704206
"CPT4:83605",695526
"CPT4:99232",650778
"CPT4:71010",647435
"CPT4:99233",623172
"CPT4:82330",574473
"CPT4:84460",570626
"CPT4:99284",567961
"CPT4:82247",552143
"CPT4:93010",542407
"CPT4:82248",542091
"CPT4:82040",537556
"CPT4:99204",535696
"CPT4:84450",528272
"CPT4:99212",497422
"CPT4:84075",488271
"CPT4:J2270",466662
"CPT4:84155",464401
"CPT4:85027",440700
"CPT4:J2405",435996
"CPT4:93325",421358
"CPT4:J0131",382620
"CPT4:86317",377458
"CPT4:93320",356263
"CPT4:93005",354064
"CPT4:71020",349311
"CPT4:71045",332717
"CPT4:99285",330288
"CPT4:94003",327943
"CPT4:93303",317363
"CPT4:99231",313724
"CPT4:88305",311593
"CPT4:J2543",310797
"CPT4:94640",306318
"CPT4:J3370",303528
"CPT4:J7644",297346
"CPT4:85610",294498
"CPT4:85730",293010
"CPT4:99202",288119
"CPT4:J2060",284350
"CPT4:87081",281313
"CPT4:82810",273546
"CPT4:J2250",271902
"CPT4:76770",271335
"CPT4:J7611",267688
"CPT4:92014",266900
"CPT4:99243",261743
"CPT4:81003",261076
"CPT4:J0690",260716
"CPT4:99219",258319
"CPT4:99282",237253
"CPT4:86141",227752
"CPT4:92567",225377
"CPT4:90471",224427
"CPT4:97530",222208
"CPT4:86923",222025
"CPT4:99205",221047
"CPT4:J3480",217720
"CPT4:85007",217360
"CPT4:99238",213323
"CPT4:87040",212595
"CPT4:J1940",208842
"CPT4:J1650",205925
"CPT4:99472",203780
"CPT4:J3490",201901
"CPT4:C9113",201867
"CPT4:92004",197266
"CPT4:J1642",196514
"CPT4:70551",195831
"CPT4:J0692",194550
"CPT4:82784",192534
"CPT4:85384",186287
"CPT4:96110",185913
"CPT4:86900",185322
"CPT4:94770",184741
"CPT4:J1885",183636
"CPT4:84443",179975
"CPT4:85652",179473
"CPT4:99244",178040
"CPT4:85014",175493
"CPT4:99024",174905
"CPT4:86850",172867
"CPT4:74000",172637
"CPT4:92060",170160
"CPT4:86901",169096
"CPT4:71046",165131
"CPT4:85018",163126
"CPT4:87046",152591
"CPT4:99222",150375
"CPT4:80307",147610
"CPT4:90834",145066
"CPT4:99392",145054
"CPT4:99391",143732
"CPT4:93306",142988
"CPT4:J1720",142479
"CPT4:99480",140384
"CPT4:J3010",140254
"CPT4:J0295",134448
"CPT4:82306",134101
"CPT4:87086",133934
"CPT4:84478",128667
"CPT4:94660",126843
"CPT4:99393",126099
"CPT4:81001",125994
"CPT4:83615",125315
"CPT4:87070",124154
"CPT4:95004",123931
"CPT4:85520",123414
"CPT4:84439",120880
"CPT4:99479",120721
"CPT4:99462",119657
"CPT4:94010",117968
"CPT4:69436",117315
"CPT4:J7626",115989
"CPT4:82805",115951
"CPT4:99460",115142
"CPT4:92012",113675
"CPT4:92015",113570
"CPT4:99469",113120
"CPT4:82977",112799
"CPT4:99211",112141
"CPT4:76700",111380
"CPT4:J2704",109528
"CPT4:99239",109429
"CPT4:90472",109327
"CPT4:85045",109210
"CPT4:97110",109132
"CPT4:43239",108901
"CPT4:77072",108604
"CPT4:J1205",107230
"CPT4:83036",106854
"CPT4:J1200",106578
"CPT4:C1769",106173
"CPT4:J2185",105115
"CPT4:74020",104635
"CPT4:87205",103568
"CPT4:83655",103460
"CPT4:87186",103350
"CPT4:86945",103004
"CPT4:99291",100810
"CPT4:P9011",100433
"CPT4:82728",100428
"CPT4:86985",100413
"CPT4:99221",98139
"CPT4:Q0162",97763
"CPT4:73630",97385
"CPT4:80202",97153
"CPT4:J0290",94329
"CPT4:87635",94049
"CPT4:99223",91765
"CPT4:J1100",90833
"CPT4:97803",89610
"CPT4:73610",87937
"CPT4:73090",87623
"CPT4:83690",87080
"CPT4:J2780",86627
"CPT4:J2920",85928
"CPT4:J0696",85031
"CPT4:82465",84575
"CPT4:J7040",84324
"CPT4:73590",84256
"CPT4:J7614",84055
"CPT4:83898",83917
"CPT4:D7140",83868
"CPT4:83540",82389
"CPT4:74018",82350
"CPT4:99464",82298
"CPT4:90791",82108
"CPT4:D1206",80696
"CPT4:87077",79244
"CPT4:76886",78933
"CPT4:76506",78048
"CPT4:70553",77825
"CPT4:82150",76841
"CPT4:83550",74855
"CPT4:96374",74815
"CPT4:J1644",73602
"CPT4:92579",72611
"CPT4:83718",72555
"CPT4:36000",71160
"CPT4:85670",71058
"CPT4:G0108",71051
"CPT4:S0109",70262
"CPT4:92555",69795
"CPT4:88313",69713
"CPT4:95951",67019
"CPT4:83516",65376
"CPT4:88342",65097
"CPT4:76705",64879
"CPT4:92582",64837
"CPT4:93321",64724
"CPT4:C1713",64274
"CPT4:J1953",63867
"CPT4:42820",63275
"CPT4:72082",63177
"CPT4:D1120",63088
"CPT4:P9040",62927
"CPT4:J0133",62778
"CPT4:73560",62529
"CPT4:J2765",62175
"CPT4:D0120",62042
"CPT4:J7507",61995
"CPT4:J7510",61939
"CPT4:83904",61487
"CPT4:81002",61104
"CPT4:92610",61030
"CPT4:73140",60667
"CPT4:84134",60375
"CPT4:72081",60089
"CPT4:29705",59941
"CPT4:84550",59746
"CPT4:82570",59370
"CPT4:85300",59042
"CPT4:83520",58831
"CPT4:73100",58617
"CPT4:90847",58584
"CPT4:31575",57946
"CPT4:74230",57946
"CPT4:97802",57628
"CPT4:J1170",57362
"CPT4:80197",57177
"CPT4:J3360",57125
"CPT4:72170",56946
"CPT4:99381",56822
"CPT4:94760",56740
"CPT4:J2260",56588
"CPT4:87184",56337
"CPT4:J2001",56075
"CPT4:82785",55917
"CPT4:96118",55788
"CPT4:73110",55738
"CPT4:J7060",55306
"CPT4:J3475",55257
"CPT4:87254",54904
"CPT4:93304",54796
"CPT4:92285",54546
"CPT4:J2440",54414
"CPT4:83930",54154
"CPT4:99100",53684
"CPT4:73080",53351
"CPT4:81000",52535
"CPT4:95819",52323
"CPT4:87880",52245
"CPT4:51741",51939
"CPT4:J0171",51835
"CPT4:P9041",50866
"CPT4:74019",49981
"CPT4:51600",49585
"CPT4:81025",49395
"CPT4:J1230",49083
"CPT4:74455",49047
"CPT4:73521",48880
"CPT4:99394",48248
"CPT4:82272",47340
"CPT4:96365",47202
"CPT4:92250",47114
"CPT4:C1893",46654
"CPT4:Q9967",46357
"CPT4:87088",46290
"CPT4:D1351",46149
"CPT4:96375",46103
"CPT4:90686",46052
"CPT4:87798",45231
"CPT4:99245",45028
"CPT4:92526",44607
"CPT4:72148",44508
"CPT4:76856",44505
"CPT4:99476",44440
"CPT4:88307",44093
"CPT4:90947",43802
"CPT4:92587",43687
"CPT4:99173",43626
"CPT4:85576",43581
"CPT4:73721",43308
"CPT4:73564",43245
"CPT4:42830",43096
"CPT4:J2997",42481
"CPT4:76882",42444
"CPT4:80502",42027
"CPT4:99140",41728
"CPT4:P9045",41649
"CPT4:82787",41634
"CPT4:90670",41511
"CPT4:99217",41286
"CPT4:70450",41229
"CPT4:73070",41081
"CPT4:99254",40859
"CPT4:94668",40809
"CPT4:D9243",40642
"CPT4:87631",40498
"CPT4:12011",40142
"CPT4:88304",40022
"CPT4:51701",39787
"CPT4:92507",39287
"CPT4:87799",39201
"CPT4:94002",39166
"CPT4:C1725",39166
"CPT4:85525",39119
"CPT4:99242",38526
"CPT4:86255",38471
"CPT4:J1265",37844
"CPT4:93356",37759
"CPT4:82550",37727
"CPT4:D7240",37544
"CPT4:95117",37401
"CPT4:73130",37245
"CPT4:D2930",37168
"CPT4:88341",37070
"CPT4:90680",36997
"CPT4:85390",36979
"CPT4:70360",36634
"CPT4:88300",36391
"CPT4:96361",36373
"CPT4:J0610",36281
"CPT4:90658",35779
"CPT4:J7516",35689
"CPT4:J7517",35672
"CPT4:33949",35420
"CPT4:82533",35249
"CPT4:86160",35102
"CPT4:D0272",34957
"CPT4:89051",34911
"CPT4:83894",34816
"CPT4:D0140",34721
"CPT4:86008",34436
"CPT4:54150",34228
"CPT4:S0028",33954
"CPT4:41899",33534
"CPT4:83970",33502
"CPT4:J0744",33460
"CPT4:86140",33277
"CPT4:31622",33094
"CPT4:80301",32914
"CPT4:90698",32644
"CPT4:92552",32434
"CPT4:86665",32230
"CPT4:J2560",32188
"CPT4:80101",32180
"CPT4:70544",32117
"CPT4:36620",32042
"CPT4:A9585",31883
"CPT4:76140",31810
"CPT4:97001",31419
"CPT4:87279",31377
"CPT4:86360",31346
"CPT4:76536",31102
"CPT4:J8540",31088
"CPT4:J1815",30901
"CPT4:93976",30816
"CPT4:93975",30806
"CPT4:90633",30195
"CPT4:76000",30177
"CPT4:31231",29919
"CPT4:A4627",29916
"CPT4:76870",29859
"CPT4:J2795",29802
"CPT4:84436",29766
"CPT4:72141",29668
"CPT4:83891",29601
"CPT4:J2300",29577
"CPT4:93000",29558
"CPT4:45380",29481
"CPT4:84156",29290
"CPT4:73620",28861
"CPT4:87045",28545
"CPT4:77077",28316
"CPT4:95953",27842
"CPT4:84300",27646
"CPT4:54161",27632
"CPT4:96366",27462
"CPT4:J0698",27246
"CPT4:99253",27210
"CPT4:51798",27035
"CPT4:90474",26864
"CPT4:88184",26761
"CPT4:93531",26734
"CPT4:90744",26604
"CPT4:82140",26174
"CPT4:76942",26044
"CPT4:J1250",25923
"CPT4:88185",25885
"CPT4:G0008",25781
"CPT4:88311",25697
"CPT4:62270",25616
"CPT4:92499",25503
"CPT4:95810",25345
"CPT4:88312",25318
"CPT4:92083",25269
"CPT4:88321",25265
"CPT4:76376",25219
"CPT4:73000",25198
"CPT4:J2248",25081
"CPT4:84157",24939
"CPT4:84305",24647
"CPT4:88108",24578
"CPT4:72146",24577
"CPT4:69210",24461
"CPT4:96360",24442
"CPT4:96413",24125
"CPT4:90700",24109
"CPT4:0399T",23883
"CPT4:82139",23716
"CPT4:99477",23660
"CPT4:A6250",23536
"CPT4:D0220",23521
"CPT4:P9017",23511
"CPT4:J0694",23472
"CPT4:64640",23457
"CPT4:49452",23179
"CPT4:D2392",23174
"CPT4:92611",23150
"CPT4:84315",22979
"CPT4:J7030",22835
"CPT4:90716",22783
"CPT4:82945",22722
"CPT4:73030",22683
"CPT4:93568",22442
"CPT4:90707",22324
"CPT4:94060",22060
"CPT4:80299",21937
"CPT4:83912",21929
"CPT4:87496",21829
"CPT4:74022",21655
"CPT4:95782",21580
"CPT4:90999",21510
"CPT4:99471",21457
"CPT4:73520",21457
"CPT4:S0164",21380
"CPT4:73552",21366
"CPT4:J1450",21298
"CPT4:99220",21235
"CPT4:J7639",21028
"CPT4:72010",20964
"CPT4:J7682",20956
"CPT4:31526",20941
"CPT4:84145",20925
"CPT4:83001",20823
"CPT4:83986",20764
"CPT4:73060",20718
"CPT4:83002",20700
"CPT4:87106",20675
"CPT4:C1751",20650
"CPT4:90657",20635
"CPT4:86352",20634
"CPT4:29075",20610
"CPT4:P9046",20484
"CPT4:95812",20394
"CPT4:82010",20366
"CPT4:73562",20290
"CPT4:85246",20254
"CPT4:72069",20169
"CPT4:90832",20161
"CPT4:96133",20156
"CPT4:82340",19985
"CPT4:71260",19951
"CPT4:93308",19946
"CPT4:J1569",19916
"CPT4:85060",19798
"CPT4:86965",19623
"CPT4:86355",19572
"CPT4:92553",19547
"CPT4:54640",19410
"CPT4:J1745",19330
"CPT4:93567",19183
"CPT4:93317",19177
"CPT4:70486",19114
"CPT4:74177",19110
"CPT4:12001",19031
"CPT4:D9230",18878
"CPT4:96372",18833
"CPT4:86357",18832
"CPT4:82607",18826
"CPT4:74183",18782
"CPT4:J8499",18757
"CPT4:J0360",18747
"CPT4:90846",18746
"CPT4:Q0163",18692
"CPT4:92133",18686
"CPT4:72197",18677
"CPT4:Q4081",18608
"CPT4:85347",18606
"CPT4:96137",18592
"CPT4:87449",18558
"CPT4:J7502",18488
"CPT4:90648",18478
"CPT4:92556",18374
"CPT4:83003",18328
"CPT4:92511",18261
"CPT4:74241",18241
"CPT4:99468",18136
"CPT4:86618",18090
"CPT4:87491",18047
"CPT4:73540",18027
"CPT4:83896",17904
"CPT4:70543",17896
"CPT4:Q9966",17891
"CPT4:87324",17846
"CPT4:96132",17837
"CPT4:82379",17758
"CPT4:76857",17720
"CPT4:78740",17713
"CPT4:80158",17620
"CPT4:83789",17583
"CPT4:92557",17524
"CPT4:94726",17515
"CPT4:76937",17513
"CPT4:C1894",17476
"CPT4:97161",17338
"CPT4:20680",17317
"CPT4:99201",17305
"CPT4:85379",17251
"CPT4:J0640",17246
"CPT4:92585",17228
"CPT4:90669",17189
"CPT4:72100",17101
"CPT4:99188",17089
"CPT4:84403",17080
"CPT4:72040",17069
"CPT4:73600",17018
"CPT4:J2710",16973
"CPT4:96136",16952
"CPT4:S0020",16878
"CPT4:51797",16752
"CPT4:80164",16720
"CPT4:85097",16544
